time_s,Tc_K
0.000059196,287.999989085
0.000059486,287.999988988
0.000059777,287.999988890
0.000060068,287.999988791
0.000060359,287.999988692
0.000060651,287.999988593
0.000060943,287.999988493
0.000061235,287.999988393
0.000061528,287.999988292
0.000061821,287.999988191
0.000062114,287.999988090
0.000062408,287.999987987
0.000062702,287.999987885
0.000062997,287.999987782
0.000063291,287.999987678
0.000063586,287.999987575
0.000063882,287.999987470
0.000064177,287.999987365
0.000064473,287.999987260
0.000064770,287.999987154
0.000065066,287.999987048
0.000065363,287.999986941
0.000065660,287.999986834
0.000065958,287.999986726
0.000066256,287.999986618
0.000066554,287.999986510
0.000066853,287.999986401
0.000067152,287.999986291
0.000067451,287.999986181
0.000067751,287.999986071
0.000068051,287.999985960
0.000068352,287.999985848
0.000068652,287.999985736
0.000068953,287.999985624
0.000069255,287.999985511
0.000069556,287.999985398
0.000069858,287.999985284
0.000070161,287.999985170
0.000070463,287.999985055
0.000070766,287.999984940
0.000071070,287.999984825
0.000071374,287.999984708
0.000071678,287.999984592
0.000071982,287.999984475
0.000072287,287.999984357
0.000072592,287.999984239
0.000072897,287.999984121
0.000073203,287.999984002
0.000073509,287.999983882
0.000073816,287.999983763
0.000074123,287.999983642
0.000074430,287.999983521
0.000074737,287.999983400
0.000075045,287.999983278
0.000075353,287.999983156
0.000075662,287.999983033
0.000075971,287.999982910
0.000076280,287.999982786
0.000076590,287.999982662
0.000076900,287.999982537
0.000077210,287.999982412
0.000077521,287.999982286
0.000077832,287.999982160
0.000078143,287.999982034
0.000078455,287.999981907
0.000078767,287.999981779
0.000079079,287.999981651
0.000079392,287.999981522
0.000079705,287.999981393
0.000080019,287.999981264
0.000080332,287.999981134
0.000080647,287.999981004
0.000080961,287.999980873
0.000081276,287.999980741
0.000081591,287.999980609
0.000081907,287.999980477
0.000082223,287.999980344
0.000082539,287.999980211
0.000082856,287.999980077
0.000083173,287.999979942
0.000083490,287.999979807
0.000083808,287.999979672
0.000084126,287.999979536
0.000084444,287.999979400
0.000084763,287.999979263
0.000085082,287.999979126
0.000085402,287.999978988
0.000085722,287.999978850
0.000086042,287.999978711
0.000086363,287.999978572
0.000086684,287.999978432
0.000087005,287.999978292
0.000087327,287.999978151
0.000087649,287.999978010
0.000087971,287.999977868
0.000088294,287.999977726
0.000088617,287.999977583
0.000088941,287.999977440
0.000089265,287.999977296
0.000089589,287.999977152
0.000089914,287.999977007
0.000090239,287.999976862
0.000090564,287.999976716
0.000090890,287.999976570
0.000091216,287.999976424
0.000091543,287.999976276
0.000091869,287.999976129
0.000092197,287.999975980
0.000092524,287.999975832
0.000092852,287.999975683
0.000093181,287.999975533
0.000093509,287.999975383
0.000093838,287.999975232
0.000094168,287.999975081
0.000094498,287.999974929
0.000094828,287.999974777
0.000095158,287.999974624
0.000095489,287.999974471
0.000095821,287.999974317
0.000096152,287.999974163
0.000096485,287.999974008
0.000096817,287.999973853
0.000097150,287.999973697
0.000097483,287.999973541
0.000097817,287.999973384
0.000098151,287.999973227
0.000098485,287.999973069
0.000098820,287.999972911
0.000099155,287.999972752
0.000099490,287.999972593
0.000099826,287.999972433
0.000100163,287.999972273
0.000100499,287.999972112
0.000100836,287.999971951
0.000101174,287.999971789
0.000101512,287.999971627
0.000101850,287.999971464
0.000102188,287.999971300
0.000102527,287.999971137
0.000102867,287.999970972
0.000103206,287.999970807
0.000103546,287.999970642
0.000103887,287.999970476
0.000104228,287.999970309
0.000104569,287.999970142
0.000104911,287.999969975
0.000105253,287.999969807
0.000105595,287.999969638
0.000105938,287.999969469
0.000106281,287.999969300
0.000106625,287.999969130
0.000106969,287.999968959
0.000107313,287.999968788
0.000107658,287.999968616
0.000108003,287.999968444
0.000108349,287.999968272
0.000108695,287.999968098
0.000109041,287.999967925
0.000109388,287.999967750
0.000109735,287.999967576
0.000110083,287.999967400
0.000110431,287.999967224
0.000110779,287.999967048
0.000111128,287.999966871
0.000111477,287.999966694
0.000111827,287.999966516
0.000112177,287.999966338
0.000112527,287.999966159
0.000112878,287.999965979
0.000113229,287.999965799
0.000113581,287.999965618
0.000113933,287.999965437
0.000114285,287.999965256
0.000114638,287.999965074
0.000114991,287.999964891
0.000115344,287.999964708
0.000115698,287.999964524
0.000116053,287.999964340
0.000116408,287.999964155
0.000116763,287.999963970
0.000117118,287.999963784
0.000117474,287.999963597
0.000117831,287.999963410
0.000118188,287.999963223
0.000118545,287.999963035
0.000118903,287.999962846
0.000119261,287.999962657
0.000119619,287.999962468
0.000119978,287.999962278
0.000120337,287.999962087
0.000120697,287.999961896
0.000121057,287.999961704
0.000121418,287.999961512
0.000121779,287.999961319
0.000122140,287.999961125
0.000122502,287.999960932
0.000122864,287.999960737
0.000123227,287.999960542
0.000123590,287.999960347
0.000123953,287.999960150
0.000124317,287.999959954
0.000124681,287.999959757
0.000125046,287.999959559
0.000125411,287.999959361
0.000125776,287.999959162
0.000126142,287.999958963
0.000126509,287.999958763
0.000126876,287.999958562
0.000127243,287.999958361
0.000127610,287.999958160
0.000127979,287.999957958
0.000128347,287.999957755
0.000128716,287.999957552
0.000129085,287.999957348
0.000129455,287.999957144
0.000129825,287.999956939
0.000130196,287.999956734
0.000130567,287.999956528
0.000130938,287.999956321
0.000131310,287.999956114
0.000131683,287.999955907
0.000132055,287.999955698
0.000132429,287.999955490
0.000132802,287.999955280
0.000133176,287.999955071
0.000133551,287.999954860
0.000133926,287.999954649
0.000134301,287.999954438
0.000134677,287.999954226
0.000135053,287.999954013
0.000135430,287.999953800
0.000135807,287.999953586
0.000136184,287.999953372
0.000136562,287.999953157
0.000136940,287.999952942
0.000137319,287.999952726
0.000137699,287.999952509
0.000138078,287.999952292
0.000138458,287.999952075
0.000138839,287.999951856
0.000139220,287.999951638
0.000139601,287.999951418
0.000139983,287.999951198
0.000140366,287.999950978
0.000140748,287.999950757
0.000141132,287.999950535
0.000141515,287.999950313
0.000141899,287.999950090
0.000142284,287.999949867
0.000142669,287.999949643
0.000143054,287.999949419
0.000143440,287.999949194
0.000143827,287.999948968
0.000144214,287.999948742
0.000144601,287.999948515
0.000144988,287.999948288
0.000145377,287.999948060
0.000145765,287.999947832
0.000146154,287.999947603
0.000146544,287.999947373
0.000146934,287.999947143
0.000147324,287.999946912
0.000147715,287.999946681
0.000148106,287.999946449
0.000148498,287.999946216
0.000148890,287.999945983
0.000149283,287.999945750
0.000149676,287.999945516
0.000150069,287.999945281
0.000150463,287.999945045
0.000150858,287.999944809
0.000151253,287.999944573
0.000151648,287.999944336
